 0.00  2.85  4.93  2.35
 2.00  3.06  5.29  2.46
 4.00  3.21  5.55  2.55
10.00  3.30  5.72  2.60
12.00  3.35  5.80  2.63
14.00  3.43  5.93  2.67
16.00  3.52  6.10  2.72
18.00  3.56  6.16  2.74
20.00  3.70  6.40  2.82
22.00  3.78  6.54  2.86
25.00  3.88  6.72  2.92
34.00  3.91  6.76  2.93
43.00  4.40  7.62  3.21
61.00  4.54  7.86  3.29
